systematic_id	chromosome	primary_name	feature_type	category	merged_into	comment_addition	reference_addition	comment_removal	reference_removal
SPNCRNA.5238	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5239	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.524	I		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5240	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5241	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5242	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5243	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5244	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5245	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5246	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5247	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5248	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5249	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.525	I		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5250	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5251	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5252	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5253	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5254	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5255	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5256	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5257	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5258	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5259	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.526	III		lncRNA,misc_RNA,ncRNA	added_and_changed					
SPNCRNA.5260	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5261	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5262	II		lncRNA,ncRNA	added_and_changed					
SPNCRNA.5263	II		lncRNA,ncRNA	added_and_changed					
