Systematic ID	Primary name	Date added	Comment	Reference
SPNCRNA.7321		2022-01-12		PMID:29914874
SPNCRNA.7320		2022-01-12		PMID:29914874
SPNCRNA.7319		2022-01-12		PMID:29914874
SPNCRNA.7318		2022-01-12		PMID:29914874
SPNCRNA.7317		2022-01-12		PMID:29914874
SPNCRNA.7316		2022-01-12		PMID:29914874
SPNCRNA.7315		2022-01-12		PMID:29914874
SPNCRNA.7314		2022-01-12		PMID:29914874
SPNCRNA.7313		2022-01-12		PMID:29914874
SPNCRNA.7312		2022-01-12		PMID:29914874
SPNCRNA.7311		2022-01-12		PMID:29914874
SPNCRNA.7310		2022-01-12		PMID:29914874
SPNCRNA.7309		2022-01-12		PMID:29914874
SPNCRNA.7308		2022-01-12		PMID:29914874
SPNCRNA.7307		2022-01-12		PMID:29914874
SPNCRNA.7306		2022-01-12		PMID:29914874
SPNCRNA.7305		2022-01-12		PMID:29914874
SPNCRNA.7304		2022-01-12		PMID:29914874
SPNCRNA.7303		2022-01-12		PMID:29914874
SPNCRNA.7302		2022-01-12		PMID:29914874
SPNCRNA.7301		2022-01-12		PMID:29914874
SPNCRNA.7300		2022-01-12		PMID:29914874
SPNCRNA.7299		2022-01-12		PMID:29914874
SPNCRNA.7298		2022-01-12		PMID:29914874
SPNCRNA.7297		2022-01-12		PMID:29914874
SPNCRNA.7296		2022-01-12		PMID:29914874
SPNCRNA.7295		2022-01-12		PMID:29914874
SPNCRNA.7294		2022-01-12		PMID:29914874
SPNCRNA.7293		2022-01-12		PMID:29914874
SPNCRNA.7292		2022-01-12		PMID:29914874
SPNCRNA.7291		2022-01-12		PMID:29914874
SPNCRNA.7290		2022-01-12		PMID:29914874
SPNCRNA.7289		2022-01-12		PMID:29914874
SPNCRNA.7288		2022-01-12		PMID:29914874
SPNCRNA.7287		2022-01-12		PMID:29914874
SPNCRNA.7286		2022-01-12		PMID:29914874
SPNCRNA.7285		2022-01-12		PMID:29914874
SPNCRNA.7284		2022-01-12		PMID:29914874
SPNCRNA.7283		2022-01-12		PMID:29914874
SPNCRNA.7282		2022-01-12		PMID:29914874
SPNCRNA.7281		2022-01-12		PMID:29914874
SPNCRNA.7280		2022-01-12		PMID:29914874
SPNCRNA.7279		2022-01-12		PMID:29914874
SPNCRNA.7278		2022-01-12		PMID:29914874
SPNCRNA.7277		2022-01-12		PMID:29914874
SPNCRNA.7276		2022-01-12		PMID:29914874
SPNCRNA.7275		2022-01-12		PMID:29914874
SPNCRNA.7274		2022-01-12		PMID:29914874
SPNCRNA.7273		2022-01-12		PMID:29914874
SPNCRNA.7272		2022-01-12		PMID:29914874
SPNCRNA.7271		2022-01-12		PMID:29914874
SPNCRNA.7270		2022-01-12		PMID:29914874
SPNCRNA.7269		2022-01-12		PMID:29914874
SPNCRNA.7268		2022-01-12		PMID:29914874
SPNCRNA.7267		2022-01-12		PMID:29914874
SPNCRNA.7266		2022-01-12		PMID:29914874
SPNCRNA.7265		2022-01-12		PMID:29914874
SPNCRNA.7264		2022-01-12		PMID:29914874
SPNCRNA.7263		2022-01-12		PMID:29914874
SPNCRNA.7262		2022-01-12		PMID:29914874
SPNCRNA.7261		2022-01-12		PMID:29914874
SPNCRNA.7260		2022-01-12		PMID:29914874
SPNCRNA.7259		2022-01-12		PMID:29914874
SPNCRNA.7258		2022-01-12		PMID:29914874
SPNCRNA.7257		2022-01-12		PMID:29914874
SPNCRNA.7256		2022-01-12		PMID:29914874
SPNCRNA.7255		2022-01-12		PMID:29914874
SPNCRNA.7254		2022-01-12		PMID:29914874
SPNCRNA.7253		2022-01-12		PMID:29914874
SPNCRNA.7252		2022-01-12		PMID:29914874
SPNCRNA.7251		2022-01-12		PMID:29914874
SPNCRNA.7250		2022-01-12		PMID:29914874
SPNCRNA.7249		2022-01-12		PMID:29914874
SPNCRNA.7248		2022-01-12		PMID:29914874
SPNCRNA.7247		2022-01-12		PMID:29914874
SPNCRNA.7246		2022-01-12		PMID:29914874
SPNCRNA.7245		2022-01-12		PMID:29914874
SPNCRNA.7244		2022-01-12		PMID:29914874
